assets/map_tutorial.png
0 2 4
0 3 3
0 4 3
0 5 3
0 6 3
0 7 3
0 8 3
0 9 4
0 9 5
0 10 5
0 11 5
0 12 4
0 12 3
0 13 2
0 14 2
0 15 2
0 16 2
0 17 2
0 18 2
0 19 2
0 20 3
0 20 4
0 20 5
0 21 5
0 22 6
0 21 7
0 20 7
0 19 8
0 18 8
0 17 8
0 16 8
0 15 8
0 14 8
0 13 8
0 12 8
0 11 7
0 10 7
0 9 7
0 8 7
0 7 6
0 7 5
0 6 5
0 5 5
0 4 5
0 3 5
1 7 4
1 8 4
1 8 5
1 8 6
1 18 3
1 13 4
1 14 4
1 15 4
1 16 4
1 17 4
1 18 4
1 12 5
1 13 5
1 15 5
1 17 5
1 12 6
1 13 6
1 15 6
1 12 7
1 13 7
1 14 7
1 16 7
2 14 3
2 16 3
2 16 5
2 14 6
2 17 7
3 13 3
3 15 3
3 17 3
3 14 5
3 16 6
3 15 7
4 3 4
9 4 4
